text,fault_category,source_dataset,source_file
Corsair Cooling Hydro Series H100i Pro,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Corsair Cooling Hydro Series H115i PRO,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
"Corsair Cooling Hydro Series H150i PRO , RGB",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
"Noctua NH-U9S 92mm SSO2 U-Type Premium , NF-A9 PWM Fans, Retail",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermalright Silver Arrow IB-E Extreme Cooler,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Akasa Aluminium Kühler 50mm Fan socket A,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Alpenföhn Panorama - 100mm,ram_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING ACALP11-PRO-R2 92mm Fluid Dynamic Alpine 11 Pro Rev. 2 for Intel,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING ACALP64 Pro 92mm,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING ACALP64-GT 80mm Alpine 64 GT,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING ACFZ11-LP 92mm Fluid Dynamic Freezer 11 LP Intel for Power Users,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING ACFZ13 92mm High Performance for Intel and AMD,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING Freezer 7 Pro Rev.2 92mm Fluid Dynamic,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING Freezer A32 120mm Fluid Dynamic with 120 mm Fan for AMD with New Fan Controller Made in Germany and PWM PST,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING UCACO-FA11001-CSA01 92mm,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING UCACO-FI11001-CSA01 92mm,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING UCACO-P0900-CSB01 120mm Fluid Dynamic Bearing,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Cooler Master Hyper 212X - with Dual 120mm PWM Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Corsair Cooling Hydro Series H100i Platinum,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Corsair Cooling Hydro Series H100i Platinum SE,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Corsair Cooling Hydro Series H115i Platinum,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Corsair Cooling Hydro Series H45,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Corsair Cooling Hydro Series H55,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Corsair Cooling Hydro Series H60 High Performance,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Corsair Cooling Hydro Series H60i RGB PRO XT,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Corsair Cooling Hydro Series H75 Performance,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Corsair Cooling Hydro Series H80i V2,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
"Corsair iCUE H150i ELITE mit LCD-Monitor, black",display_gpu_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
"Corsair iCUE H170i ELITE mit LCD-Monitor, black",display_gpu_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
DEEPCOOL Gamer Storm Lucifer K2 6 Heatpipes 120mm Slim and Silent PWM Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
DEEPCOOL GamerStorm ASSASSIN II 8 Heatpipes Dual PWM Fans&FDB Bearing 300RPM Min. Nickel-plated fins,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
DEEPCOOL GAMMAXX 200T 2 Heat pipes 120mm PWM Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
DEEPCOOL GAMMAXX 400 4 Heatpipes 120mm PWM Fan with Blue LED,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ENERMAX ETS-T40F-BK 120mm Twister Aluminum 120mm Black with blue LED PWM Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ENERMAX ETS-T40F-RF 140mm Twister Aluminum 120mm Black with 140mm PWM Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ENERMAX ETS-T40F-TB 120mm Twister Aluminum 120mm with PWM Fan Low 8 dBA nosie w/ fan adaptor,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ENERMAX ETS-T40F-W 120mm Twister Aluminum 120mm White with Dual White LED PWM Fans,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ENERMAX ETS-T50A-BVT Twister Aluminum 120mm with DFR (Dust Free Rotation) Vegas Fan with 3 color LED,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ENERMAX ETS-T50A-WVS Twister Aluminum 120mm White with DFR (Dust Free Rotation) White LED Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
EVERCOOL HPO-12025 120mm x 2 (SSF-12 & Silent Fan) Ever Lubricate,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
"Hyper 212 LED with PWM Fan, Four Direct Contact Heatpipes, Unique Fan Blade Design, Red LEDs, Optimized Bracket Design by Cooler Master",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Intel Thermal Solution HTS1155LP - socket 1155,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Intel Thermal Solution TS13X,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
"Noctua NH-D9L 92mm SSO2 Low-profile Premium , NF-A9 PWM Fans",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
"Noctua NH-L9x65 92 x 92 x 14mm, 92 x 92 x 25mm SSO2 Low-profile Quiet , NF-A9x14 PWM fan",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
SilverStone Argon Series AR04 Low Profile with 80mm Fan for Socket LGA1150/1156/1155,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
"SilverStone Argon Series AR05 Rifle Bearing with 92mm Fan for Socket LGA1155/1156/1150, AM2/AM3/FM1/FM2",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
"SilverStone Argon Series AR06 Rifle Bearing with 92mm Fan for Socket LGA1155/1156/1150, AM2/AM3/FM1/FM2",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermalright AXP-200R ROG Processor Cooler,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermalright Macho 120 SBM Processor Cooler,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermalright Macho 90 Processor Cooler,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermalright Macho Direct Processor Cooler,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermalright Macho X2 Processor Cooler,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermalright True Spirit 120 M BW Processor Cooler,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermalright True Spirit 140 Power Processor Cooler,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermalright True Spirit 90 M Rev.A Processor Cooler,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermaltake Engine 17 Low-Profile,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermaltake Floe Riing RGB TT Premium-Edition,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermaltake Floe Riing RGB TT Premium-Edition,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermaltake Floe Riing RGB TT Premium-Edition,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermaltake Riing Silent 12 Blue - 120mm,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermaltake Riing Silent 12 Pro Blue - 120mm,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermaltake Riing Silent 12 Pro Red - 120mm,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermaltake Riing Silent 12 Red - 120mm,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermaltake Riing Silent 12 RGB Sync Edition - 120mm,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermaltake Water 3.0 ARGB Sync,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermaltake Water 3.0 ARGB Sync,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermaltake Water 3.0 ARGB Sync,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
"Thermaltake Water 3.0 Riing , red - 140 mm",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
"Thermaltake Water 3.0 Riing , red - 280 mm",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermaltake Water 3.0 Riing RGB - 240 mm,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermaltake Water 3.0 Riing RGB - 280 mm,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermaltake Water 3.0 Riing RGB - 360 mm,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
"Thermaltake Core P7, Tempered Glass - black",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
BitFenix Shinobi Core Midi-Tower USB 3.0 - black,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
BitFenix Shinobi Core Midi-Tower USB 3.0 - black Window,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
BitFenix Shinobi Core Midi-Tower USB 3.0 - white,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
BitFenix Shinobi Core Midi-Tower USB 3.0 - white Window,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
BitFenix Shinobi Midi-Tower USB 3.0 - black,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
BitFenix Shinobi Midi-Tower USB 3.0 - black Window,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
BitFenix Shinobi Midi-Tower USB 3.0 - black/grün/grün Window,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
BitFenix Shinobi Midi-Tower USB 3.0 - white/blue/dunkelblue,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
BitFenix Shinobi Midi-Tower USB 3.0 - white/black/black,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Cryorig Taku Mini-ITX/Monitorstand,display_gpu_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Fractal Design Core 1000 USB3.0 Micro-ATX - black,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Fractal Design Define R6 USB-C Midi-Tower - grey,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Fractal Design Define R6 USB-C Midi-Tower - black,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Fractal Design Define R6 USB-C Midi-Tower - black/white,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Fractal Design Define R6 USB-C Midi-Tower - Tempered Glass - black/white,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"Fractal Design Define R6 USB-C Midi-Tower - Tempered Glass, grey",peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"Fractal Design Define R6 USB-C Midi-Tower - Tempered Glass, black",peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"Fractal Design Define R6 USB-C Midi-Tower - Tempered Glass, white",peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Fractal Design Define R6 USB-C Midi-Tower - white,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
IN WIN D-Frame 2.0 Design Big-Tower - black/gold,ram_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"IN WIN D-Frame 2.0 Design Big-Tower, NVIDIA Edition - black/grün",ram_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
IN WIN D-Frame Mini Mini-ITX - red,ram_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"InWin D-Frame 2.0 Design Big-Tower, Intel Edition - white/blue",ram_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
InWin D-Frame Mini Mini-ITX - orange,ram_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Lian Li PC-9NB Midi-Tower USB 3.0 - black,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"PHANTEKS Eclipse G500A D-RGB Fanless Midi-Tower, Tempered Glass - black",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Silverstone SST-GD09-C USB 3.0 Grandia Desktop - black,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Silverstone SST-RV04B-W USB 3.0 Raven Big-Tower - black,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Silverstone SST-SG06S USB 3.0 Sugo inkl. 300W Netzteil - silver,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Silverstone SST-SG13B Sugo USB3.0 - black,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Silverstone SST-SG13B-Q Sugo USB3.0 - black,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Silverstone SST-SG13WB Sugo USB3.0 - white,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Silverstone SST-SG13WB-Q Sugo USB3.0 - white,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"Thermaltake A500 TG Aluminum Midi-Tower, Tempered Glass - space grey",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"Thermaltake AH T600 Snow Edition Showcase, Tempered Glass - white",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"Thermaltake AH T600 TG Showcase, Tempered Glass - black",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Thermaltake Commander C31 TG ARGB Tempered Glass Midi-Tower - black,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Thermaltake Commander C33 TG ARGB Tempered Glass Midi-Tower - black,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Thermaltake Commander MS-I Snow Edition Midi-Tower - white/black,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Thermaltake Commander MS-I USB 3.0 Midi-Tower - black,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"Thermaltake Core P1, Tempered Glass - black",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Thermaltake Core P3 - black Window,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Thermaltake Core P3 - white Window,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"Thermaltake Core P3 TG Curved Edition, Tempered Glass - black",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Thermaltake Core P3 TG Showcase - black,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"Thermaltake Core P3 TG Snow Edition, Tempered Glass - white",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Thermaltake Core P5 - Green Edition Window,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Thermaltake Core P5 - black Window,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"Thermaltake Core P5 Ti, Tempered Glass - Space Grey",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"Thermaltake Core P5, Tempered Glass - black",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"Thermaltake Core P5, Tempered Glass - Snow Edition",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Thermaltake Core P90 TG Tempered Glass Showcase - black,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Thermaltake Core V1 Mini-ITX - black Window,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Thermaltake Core V1 Snow Edition Mini-ITX - white Window,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Thermaltake Core V21 Micro-ATX - black,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Thermaltake Core V31 Window Midi-Tower - black,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
